, C, Si, Mn, P, S, Ni, Cr, Mo, Cu,V, Al, N,Ceq,Nb + Ta, Temperature (°C), 0.2% Proof Stress (MPa), Tensile Strength (MPa), Elongation (%), Reduction in Area (%)
16,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0.0,0.005,0.008,0.0,0.0,500,232,423,28,84
17,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0.0,0.005,0.008,0.0,0.0,550,207,367,34,86
18,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0.0,0.005,0.008,0.0,0.0,600,176,297,44,89
19,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0.0,0.005,0.008,0.0,0.0,650,132,205,67,92
20,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,27,306,463,32,78
21,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,100,258,432,26,76
22,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,200,303,459,22,73
23,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,300,275,473,23,69
24,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,400,264,464,25,75
25,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,450,252,451,23,78
26,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,500,237,424,24,81
27,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,550,228,378,28,84
28,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,600,212,297,37,88
29,0.1,0.28,0.49,0.008,0.009,0.028,0.9,0.56,0.08,0.0,0.006,0.009,0.0,0.0,650,143,221,60,91
30,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,27,343,502,32,76
31,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,100,326,467,28,76
32,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,200,329,482,23,73
33,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,300,277,505,22,67
34,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,400,249,493,27,76
35,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,450,253,475,24,77
36,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,500,255,434,24,81
37,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,550,229,383,29,86
38,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,600,202,301,36,89
39,0.12,0.43,0.48,0.014,0.008,0.051,0.96,0.56,0.08,0.0,0.006,0.008,0.0,0.0,650,143,221,51,91
40,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,27,339,493,33,77
41,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,100,329,464,28,76
42,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,200,315,475,23,72
43,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,300,270,497,22,69
44,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,400,257,482,24,73
45,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,450,256,465,25,77
46,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,500,256,442,25,82
47,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,550,238,389,30,85
48,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,600,213,308,37,89
49,0.12,0.28,0.44,0.018,0.008,0.03,0.99,0.54,0.08,0.0,0.007,0.01,0.0,0.0,650,146,226,57,92
50,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,27,251,456,32,73
51,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,100,240,420,30,73
52,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,200,261,449,24,71
53,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,300,203,479,23,69
54,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,400,192,482,27,76
55,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,450,186,471,26,78
56,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,500,192,435,25,83
57,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,550,177,375,30,85
58,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,600,170,304,38,89
59,0.12,0.37,0.45,0.018,0.008,0.035,1.0,0.5,0.06,0.0,0.009,0.0088,0.0,0.0,650,122,211,51,92
60,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,27,239,453,35,72
61,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,100,229,419,27,72
62,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,200,244,449,23,70
63,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,300,210,485,23,69
64,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,400,174,474,27,74
65,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,450,194,468,28,77
66,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,500,181,434,26,82
67,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,550,175,380,30,85
68,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,600,170,296,38,89
69,0.12,0.36,0.45,0.018,0.007,0.028,1.0,0.53,0.05,0.0,0.007,0.008,0.0,0.0,650,124,214,54,93
70,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,27,241,431,36,76
71,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,100,237,406,31,77
72,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,200,243,431,24,72
73,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,300,188,459,22,71
74,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,400,168,454,27,77
75,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,450,176,444,26,76
76,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,500,160,417,28,81
77,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,550,172,376,32,85
78,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,600,161,293,38,88
79,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.0,0.012,0.0082,0.0,0.0,650,114,199,54,94
80,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,27,313,464,29,70
81,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,100,301,421,23,70
82,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,200,324,459,22,67
83,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,300,303,479,21,65
84,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,400,279,482,24,71
85,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,450,277,473,24,73
86,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,500,262,449,24,76
87,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,550,251,395,27,82
88,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,600,220,317,33,84
89,0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0.0,0.009,0.0089,0.0,0.0,650,137,213,78,90
90,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,27,291,462,30,71
91,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,100,315,418,25,70
92,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,200,316,457,20,66
93,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,300,288,479,22,63
94,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,400,270,482,24,71
95,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,450,272,479,23,73
96,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,500,256,441,23,77
97,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,550,240,393,26,81
98,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,600,218,299,42,87
99,0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0.0,0.009,0.0076,0.0,0.0,650,136,217,52,90
100,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,27,312,452,30,71
101,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,100,304,420,25,73
102,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,200,311,454,22,64
103,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,300,242,529,20,65
104,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,400,291,483,23,72
105,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,450,280,479,23,72
106,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,500,260,448,24,77
107,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,550,240,383,28,82
108,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,600,215,304,34,86
109,0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0.0,0.009,0.0089,0.0,0.0,650,150,220,46,90
110,0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,0.0,27,280,480,31,64
111,0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,0.0,100,270,471,21,57
112,0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,0.0,200,272,591,19,48
113,0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,0.0,300,197,553,29,57
114,0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,0.0,350,185,509,34,66
115,0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,0.0,400,177,444,34,69
116,0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,0.0,450,176,373,37,75
117,0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,0.0,500,156,306,45,82
118,0.2,0.31,0.59,0.018,0.009,0.0,0.046,0.011,0.05,0.0,0.006,0.0056,0.0,0.0,550,131,234,61,90
119,0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,0.0,27,290,470,32,65
120,0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,0.0,100,278,456,22,60
121,0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,0.0,200,277,572,19,48
122,0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,0.0,300,187,540,30,58
123,0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,0.0,350,188,500,32,65
124,0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,0.0,400,166,431,37,67
125,0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,0.0,450,171,371,36,76
126,0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,0.0,500,152,302,40,83
127,0.2,0.28,0.6,0.018,0.008,0.0,0.045,0.01,0.05,0.0,0.005,0.0066,0.0,0.0,550,127,229,44,88
128,0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,0.0,27,285,470,31,62
129,0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,0.0,100,271,453,22,60
130,0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,0.0,200,267,564,18,48
131,0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,0.0,300,187,546,30,56
132,0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,0.0,350,184,485,35,66
133,0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,0.0,400,172,427,35,70
134,0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,0.0,450,179,372,36,78
135,0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,0.0,500,165,309,41,83
136,0.2,0.29,0.55,0.021,0.009,0.0,0.054,0.012,0.05,0.0,0.004,0.0058,0.0,0.0,550,135,237,60,89
137,0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,0.0,27,315,500,30,64
138,0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,0.0,100,276,456,23,63
139,0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,0.0,200,280,540,18,52
140,0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,0.0,300,202,534,27,57
141,0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,0.0,350,197,495,32,65
142,0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,0.0,400,198,443,32,69
143,0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,0.0,450,172,379,38,74
144,0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,0.0,500,173,319,38,78
145,0.21,0.21,0.62,0.014,0.014,0.0,0.046,0.019,0.05,0.0,0.008,0.003,0.0,0.0,550,139,254,40,83
146,0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,0.0,27,300,480,31,63
147,0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,0.0,100,291,471,24,63
148,0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,0.0,200,293,534,19,53
149,0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,0.0,300,231,552,29,59
150,0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,0.0,350,231,506,34,67
151,0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,0.0,400,230,467,32,70
152,0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,0.0,450,206,386,36,74
153,0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,0.0,500,199,335,38,79
154,0.24,0.24,0.64,0.015,0.013,0.0,0.074,0.019,0.05,0.0,0.011,0.006,0.0,0.0,550,149,258,49,83
155,0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,0.0,27,290,480,32,64
156,0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,0.0,100,297,510,19,51
157,0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,0.0,200,291,650,22,43
158,0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,0.0,300,189,572,33,58
159,0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,0.0,350,187,497,35,61
160,0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,0.0,400,193,426,40,68
161,0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,0.0,450,181,368,36,67
162,0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,0.0,500,164,273,35,68
163,0.2,0.2,0.47,0.007,0.009,0.0,0.056,0.01,0.07,0.0,0.005,0.011,0.0,0.0,550,114,231,44,76
164,0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,0.0,27,275,460,33,64
165,0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,0.0,100,260,439,25,62
166,0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,0.0,200,260,519,19,54
167,0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,0.0,300,197,512,30,58
168,0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,0.0,350,188,469,32,67
169,0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,0.0,400,190,404,37,73
170,0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,0.0,450,187,356,45,84
171,0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,0.0,500,154,275,48,83
172,0.21,0.32,0.48,0.02,0.018,0.0,0.017,0.006,0.08,0.0,0.004,0.0044,0.0,0.0,550,137,227,50,88
173,0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,0.0,27,270,460,32,65
174,0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,0.0,100,244,434,24,63
175,0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,0.0,200,240,517,19,54
176,0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,0.0,300,202,509,30,60
177,0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,0.0,350,195,472,37,65
178,0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,0.0,400,197,413,36,72
179,0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,0.0,450,178,349,41,77
180,0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,0.0,500,160,276,42,84
181,0.2,0.31,0.5,0.022,0.017,0.0,0.017,0.006,0.09,0.0,0.004,0.0037,0.0,0.0,550,137,209,57,90
182,0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,0.0,27,285,470,34,66
183,0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,0.0,100,267,446,25,64
184,0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,0.0,200,251,502,20,56
185,0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,0.0,300,183,561,31,58
186,0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,0.0,350,190,471,35,65
187,0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,0.0,400,200,417,42,73
188,0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,0.0,450,202,343,40,77
189,0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,0.0,500,171,286,48,81
190,0.23,0.32,0.53,0.023,0.016,0.0,0.022,0.005,0.07,0.0,0.005,0.0051,0.0,0.0,550,125,219,58,87
191,0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,0.0,27,265,450,35,70
192,0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,0.0,100,260,442,26,67
193,0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,0.0,200,247,566,20,55
194,0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,0.0,300,198,560,27,59
195,0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,0.0,400,195,493,30,74
196,0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,0.0,450,181,447,28,78
197,0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,0.0,500,186,406,27,82
198,0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,0.0,550,183,363,32,83
199,0.11,0.3,0.48,0.012,0.01,0.0,0.0,0.51,0.0,0.0,0.005,0.0078,0.0,0.0,600,174,281,46,87
200,0.12,0.25,0.5,0.012,0.01,0.0,0.0,0.5,0.0,0.0,0.005,0.0068,0.0,0.0,27,270,460,34,69
